cleaned_text,brand_target,sentiment_target,multi_class_target
google partyawesome sxsw,Google,Positive emotion,Google-Positive emotion
wow google launch new social network sxsw link sxsw google,Google,Positive emotion,Google-Positive emotion
apple google intel amp others get going gold game link thegogame sxsw,Google,Positive emotion,Google-Positive emotion
seeing google new map mobile building super fast rendering network sxsw,Google,Positive emotion,Google-Positive emotion
hey remember didnt even bring laptop sxsw panel ipad life,Apple,Positive emotion,Apple-Positive emotion
team android sxsw full party detail revealed link news austin sxsw teamandroid,Google,Positive emotion,Google-Positive emotion
team android sxsw full party detail revealed link sxsw,Google,Positive emotion,Google-Positive emotion
team android party lustre pearl nice among people sxsw,Google,Positive emotion,Google-Positive emotion
going sxsw wish could purchase ipad worry link well played apple well played,Apple,Positive emotion,Apple-Positive emotion
look crowd sxsw everyone head looking ipad phone place socially awkward quotcoolquot,Apple,Positive emotion,Apple-Positive emotion
amazing joke bad teeth picture google british teeth google first hit dude killing sxsw,Google,Positive emotion,Google-Positive emotion
really cool shit google working google web font look hawt sxsw,Google,Positive emotion,Google-Positive emotion
really cool stop let make custom iphone case zazzlesxsw sxsw sxswi link link,Apple,Positive emotion,Apple-Positive emotion
two year old show howmto use ipad usdes sxsw,Apple,Positive emotion,Apple-Positive emotion
scene austin sxsw ipad popup shop arriving link sxsw cnnmoneysxsw,Apple,Positive emotion,Apple-Positive emotion
there something said sxsw gadget choice every session ipad macbookpro blackberry nothing else,Apple,Positive emotion,Apple-Positive emotion
ipad take sxsw link,Apple,Positive emotion,Apple-Positive emotion
study player tell quotpetting iphone make happyquot tapworthy sxsw,Apple,Positive emotion,Apple-Positive emotion
rumor apple opening temporary store downtown austin sxsw ipad launch link,Apple,Positive emotion,Apple-Positive emotion
interrupt regularly scheduled sxsw geek programming big news link google circle,Google,Positive emotion,Google-Positive emotion
love sxsw quotapple come cool technology one ever heard dont conferencesquot,Apple,Positive emotion,Apple-Positive emotion
sxsw rightbrain mwrc leftbrain sxsw attendee mac ipad,Apple,Positive emotion,Apple-Positive emotion
love sxsw quotapple come cool technology one ever heard dont conferencesquot,Apple,Positive emotion,Apple-Positive emotion
retiring wine library moving onto daily grape get app iphone thankyouecon sxsw,Apple,Positive emotion,Apple-Positive emotion
google lost way caring much business user psych sxsw,Google,Negative emotion,Google-Negative emotion
route around traffic google map feature saving user year time every day sxsw holytrafficjams,Google,Positive emotion,Google-Positive emotion
technology couldnt happen iphone nokia pushsnowboarding sxsw,Apple,Negative emotion,Apple-Negative emotion
quotgoogle tweetquot new quotthink speakquot mark belinsky tweet panel sxsw۝,Google,Positive emotion,Google-Positive emotion
sxsw beta testing interactive book ipad app moonbot studio louisiana cool app۝,Apple,Positive emotion,Apple-Positive emotion
apple great example retail store layed future register checkout line sxsw,Apple,Positive emotion,Apple-Positive emotion
sxsw official iphone app link enjoy sxsw,Apple,Positive emotion,Apple-Positive emotion
line moving fast seen two impressive line since sxsw one apple store amp party,Apple,Positive emotion,Apple-Positive emotion
cnnmoney sxsw computing device bigger ipad pass̩ mobile space buzz link wssxsw,Apple,Positive emotion,Apple-Positive emotion
swisher call apple quotthe classiest fascist company americaquot sxflip sxsw,Apple,Negative emotion,Apple-Negative emotion
link hear apple۪s opening temporary store sxsw via,Apple,Positive emotion,Apple-Positive emotion
spread word sxsw festival explorer app live free link,Apple,Positive emotion,Apple-Positive emotion
amp fun google pic sxsw link,Google,Positive emotion,Google-Positive emotion
sxsw quotapple come cool technology one ever heard dont conferencesquot,Apple,Positive emotion,Apple-Positive emotion
sxsw quotapple come cool technology one ever heard dont conferencesquot,Apple,Positive emotion,Apple-Positive emotion
sxsw quothaving really great social search probably good idea googlequot,Google,Positive emotion,Google-Positive emotion
iphone apps well using south southwest interactive link sxsw sxswi,Apple,Positive emotion,Apple-Positive emotion
alive loving great talk jonathan dahl minimalistprogramming google marissa mayer marissagoogle sxsw,Google,Positive emotion,Google-Positive emotion
team android party walked appolicious app amp enter win free nexus androidsxsw sxsw,Apple,Positive emotion,Apple-Positive emotion
congrats iphone app featured sxsw,Apple,Positive emotion,Apple-Positive emotion
cool mean watch ustream skyfire browser iphone safari doesnt work fun sxsw,Apple,Positive emotion,Apple-Positive emotion
beyond hour amp share positive action world download earthhour iphone app link sxsw,Apple,Positive emotion,Apple-Positive emotion
google looking social signal search result qagb sxsw,Google,Positive emotion,Google-Positive emotion
agree apple stole little part show exciting new biz concept sxsw,Apple,Positive emotion,Apple-Positive emotion
ipad app getting panned design trumping content rightfully sxsw,Apple,Negative emotion,Apple-Negative emotion
saw lax heading sxsw wife iphone ipad download app freespeech,Apple,Positive emotion,Apple-Positive emotion
html tshirt google saying easeljs favorite canvas library sxsw,Google,Positive emotion,Google-Positive emotion
cedar street courtyard also apple store sxsw link small fan,Apple,Positive emotion,Apple-Positive emotion
one must apps survive sxsw link join sxswbarcrawl sxswi,Apple,Positive emotion,Apple-Positive emotion
peter cashmore ipad minor improvement worth unless money burn sxsw,Apple,Negative emotion,Apple-Negative emotion
putting gun head give iphone sxsw link,Apple,Positive emotion,Apple-Positive emotion
new ubersocial iphone app store includes uberguide sxsw cont link,Apple,Positive emotion,Apple-Positive emotion
wow gold gym underneath apple store kind nutshell right sxsw,Apple,Positive emotion,Apple-Positive emotion
iphone case rad ready stop tomorrow get sxsw zazzlesxsw sxswi link,Apple,Positive emotion,Apple-Positive emotion
quot apple classiest fascist company america really elegantquot sxsw rji,Apple,Negative emotion,Apple-Negative emotion
quotapple come cool technology one ever heard dont conferencesquot sxsw pseudoretweet,Apple,Positive emotion,Apple-Positive emotion
quotapple elegant fascist company americaquot flipboard sxsw,Apple,Negative emotion,Apple-Negative emotion
quotapple elegant fascist corporation america todayquot kara swisher sxsw flipboard,Apple,Negative emotion,Apple-Negative emotion
quotat sxsw apple school marketing expertsquot link,Apple,Positive emotion,Apple-Positive emotion
quotgoogle tweet new think speakquot belinsky digital democracy sxsw tweet,Google,Positive emotion,Google-Positive emotion
quotgoogle tweetquot new quotthink speakquot mark belinsky tweet panel sxsw,Google,Positive emotion,Google-Positive emotion
quotgoogle look technical solution theyre great community human solutionquot sxsw,Google,Negative emotion,Google-Negative emotion
quotgoogle map route around traffic saving user year every dayquot marissa mayer sxsw,Google,Positive emotion,Google-Positive emotion
quoti believe god explanation apple continued existencequot guy kawasaki enchantment sxsw,Apple,Negative emotion,Apple-Negative emotion
quotim learning thing screenquot year old explanation instantly knew use ipad sxsw,Apple,Positive emotion,Apple-Positive emotion
quotiava want google nonprofitsquot yes vet deserve nothing le sxsw letshookup,Google,No emotion toward brand or product,Google-No emotion toward brand or product
quotif there one thing sxsw good flash mob hivethinkquot apple win sxsw ipad link,Apple,Positive emotion,Apple-Positive emotion
quotits affirmative action woman product team google literally made product betterquot sxsw nptech,Google,Positive emotion,Google-Positive emotion
quotits affirmative action woman product team google literally made product betterquot sxsw,Google,Positive emotion,Google-Positive emotion
quotmultiple approach monetizationquot iphone game dev quotbut ad would cheapen productquot good luck sxsw,Apple,Negative emotion,Apple-Negative emotion
quotso google quotrefrigerator magnet gamequot everyone sxsw keynote stop listening,Google,Positive emotion,Google-Positive emotion
quotthe future local contextual discoveryquot google marissa mayer argues exceptionally valuable type search sxsw,Google,Positive emotion,Google-Positive emotion
quotthe google name built getting thing trying outquot marissa mayer sxsw frm,Google,Positive emotion,Google-Positive emotion
quotthe explanation continued success apple existence godquot enchantment sxsw,Apple,Positive emotion,Apple-Positive emotion
quotthere explanation apple continued survival existence godquot guykawasaki sxsw,Apple,Positive emotion,Apple-Positive emotion
quottheres reason google isnt social technicalquot sxsw comment,Google,Negative emotion,Google-Negative emotion
quottransparency choice control define google productsquot mayer thereby defining google brand value sxsw,Google,Positive emotion,Google-Positive emotion
apple setting popup store downtown austin sell bajillions ipads sxsw attendee course link,Apple,Positive emotion,Apple-Positive emotion
apple popup store selling ipad sxsw link via tech retail,Apple,Positive emotion,Apple-Positive emotion
apple setting popup store austin sell bajillions ipads sxsw attendee link brilliant,Apple,Positive emotion,Apple-Positive emotion
apple hawk ipad sxsw festival popup store link,Apple,Positive emotion,Apple-Positive emotion
blackberry user must feel like loser sxsw clearly iphone crowd baby,Apple,Positive emotion,Apple-Positive emotion
futuremf trajan google destroyed lttitlegt tag website seo open graph protocol added clean title tag instead sxsw,Google,Negative emotion,Google-Negative emotion
ipad design tip look like physical object ppl interact like it۪s onequot sxsw tapworthy gsdm,Apple,Positive emotion,Apple-Positive emotion
ipad lounge recharge coffee ipad art showfree daily sxsw congress austin detail link,Apple,Positive emotion,Apple-Positive emotion
playhopskoch apple app store well android market getting ready rock sxsw,Apple,Positive emotion,Apple-Positive emotion
qagb sxsw timely bings search engine share continues rise google still top link,Google,Positive emotion,Google-Positive emotion
seenatsxsw best thing seen sxsw fara man begging street corner money ipad front apple store sad,Apple,No emotion toward brand or product,Apple-No emotion toward brand or product
sxsw omitting flash apple seems effective even though maybe need break old thing browserwars,Apple,Positive emotion,Apple-Positive emotion
sxsw talk demoing google place hotpot integrated ratingrecommendation system androidiphone cool stuff,Google,Positive emotion,Google-Positive emotion
sxsw csr reporting janecek microsoft give charity apple give nothing everyone room iphone drive decision,Apple,Negative emotion,Apple-Negative emotion
sxsw enchantment quotbright spot apple pagemaker saved apple believe god explanation apple survival,Apple,Positive emotion,Apple-Positive emotion
sxsw enchantment quotno one us window voluntarilyquot quotapple greatest collection egomaniac historyquot haha,Apple,Negative emotion,Apple-Negative emotion
sxsw geogames android develop geogames tweet wed love talkfree beer coffee couple minute time,Google,Positive emotion,Google-Positive emotion
sxsw google bing smackdown bloody banality guardian link via,Google,Negative emotion,Google-Negative emotion
sxsw beta testing interactive book ipad app moonbot studio louisiana cool app,Apple,Positive emotion,Apple-Positive emotion
sxsw android live android marketplace new feature including card storage link via,Google,Positive emotion,Google-Positive emotion
sxsw guy front panel ipad etchasketch casedevice wonder iusxsw,Apple,Positive emotion,Apple-Positive emotion
sxsw hire qualified talented woman consciously early startup achieve success google,Google,Positive emotion,Google-Positive emotion
sxsw ipad store sold everything except gig wifi white,Apple,Negative emotion,Apple-Negative emotion
sxsw sxsw getting apple store geek cried yes ipad coming it۪s coming frid link,Apple,Positive emotion,Apple-Positive emotion
sxsw plan google party blackberry party party good time party lol,Google,Positive emotion,Google-Positive emotion
sxsw wow apple right thing japan must read link,Apple,Positive emotion,Apple-Positive emotion
sxsw rumor mill ipad camera slightly thinner rare earth case quotdifferentquot still smudgy screen,Apple,Negative emotion,Apple-Negative emotion
sxsw cool apple pop fundraising kiosk japan sxsw kidding good idea,Apple,Positive emotion,Apple-Positive emotion
sxsw waze link duking google personalized mapping experience friendly quotpanel crashingquot,Google,Negative emotion,Google-Negative emotion
sxsw ipad design headache take two tablet call morning link,Apple,Negative emotion,Apple-Negative emotion
uxdes glad standard ipad navigation tool might one sxsw,Apple,Negative emotion,Apple-Negative emotion
love sxsw quotapple come cool technology one ever heard dont conferencesquot,Apple,Positive emotion,Apple-Positive emotion
minute til sxsw party free beer free maudies taco free ipad android tablet amp kindle giveaway bitlyajs,Google,Positive emotion,Google-Positive emotion
social apps make sxsw intimate link sxsw sxswi apps iphone,Apple,Positive emotion,Apple-Positive emotion
browserwars panel without apple like sxsw without party,Apple,Positive emotion,Apple-Positive emotion
diabetes plate thanks google already covered link sxsw,Google,Negative emotion,Google-Negative emotion
absolutely timely good schtuff google people finder japan quake link iqlab sxsw,Google,Positive emotion,Google-Positive emotion
abt surprise customer waiting line apple store austin ipad sxsw cbatsxsw awesome,Apple,Positive emotion,Apple-Positive emotion
agency push google direction never would gone otherwise say creative lab strategy director sxsw,Google,Positive emotion,Google-Positive emotion
agreed novelty ipad news apps fade fast among digital delegate link medium sxsw via,Apple,Negative emotion,Apple-Negative emotion
akqa hiring find front designing ipad interface new navigation schema ballroom sxsw,Apple,No emotion toward brand or product,Apple-No emotion toward brand or product
almost every quothow quot answered google doc session sxsw looseorganizations,Google,Positive emotion,Google-Positive emotion
awesome free iphone app keeping track friend meeting finding people sxsw link,Apple,Positive emotion,Apple-Positive emotion
suck google preview major new social service circle sxsw today link,Google,Negative emotion,Google-Negative emotion
live come get android check link sxsw android,Google,Positive emotion,Google-Positive emotion
android developer friend let hang saturday sxsw link fellow andronerds,Google,Positive emotion,Google-Positive emotion
announcing sxsw quotables crowdcurated feed hottest quote sxsw sign win ipad link ipad,Apple,Positive emotion,Apple-Positive emotion
another great panel hilton austin left brain search google right brain search sxsw,Google,Positive emotion,Google-Positive emotion
anyone going buy new ipad donate japan tsunami victim instead sxsw,Apple,Negative emotion,Apple-Negative emotion
apparently google quotad preferencesquot youll see google think youll like seenocreepy sxsw pnid,Google,Negative emotion,Google-Negative emotion
apple autocorrect weird ogilvy autocorrects idiocy ogilvynotes sxsw,Apple,Negative emotion,Apple-Negative emotion
apple fan look like apple store opening austin sxsw full san antonio,Apple,Positive emotion,Apple-Positive emotion
apple get kudos marketing done sxsw ipad release pop store austin link,Apple,Positive emotion,Apple-Positive emotion
apple quotthe classiest fascist company americaquot say sxsw,Apple,Negative emotion,Apple-Negative emotion
apple quarter music industry digital sale touchingstories tbwasxsw sxsw,Apple,Positive emotion,Apple-Positive emotion
apple know game theyre sxsw bring ipad people link,Apple,Positive emotion,Apple-Positive emotion
apple like pay thats apple like barry diller sxsw,Apple,No emotion toward brand or product,Apple-No emotion toward brand or product
apple congress nice apple set open popup shop core sxsw action link sxsw apple,Apple,Positive emotion,Apple-Positive emotion
apple opened popup store sxsw release ipad amp quite scene geek power link,Apple,Positive emotion,Apple-Positive emotion
apple opened popup store sxsw release ipad quite scene geek power link,Apple,Positive emotion,Apple-Positive emotion
apple opening downtown austin pop store sxsw even begin apple win sxsw link,Apple,Positive emotion,Apple-Positive emotion
apple opening popup store ipad launch downtown austin sxsw link via,Apple,Positive emotion,Apple-Positive emotion
apple open quotpopupquot store sxsw smart well played fruit link via,Apple,Positive emotion,Apple-Positive emotion
apple pop store sxsw pop genius bar everywhere,Apple,Positive emotion,Apple-Positive emotion
apple popup shop sxsw cool link,Apple,Positive emotion,Apple-Positive emotion
apple popup store sxsw link sat opening,Apple,Positive emotion,Apple-Positive emotion
apple set open popup shop core sxsw action link via sxsw,Apple,Positive emotion,Apple-Positive emotion
apple setting temp store sxsw sell ipad crazy brilliant convenient link,Apple,Positive emotion,Apple-Positive emotion
apple store line block week long sxsw amazing,Apple,Positive emotion,Apple-Positive emotion
apple open temporary store sxsw interesting link,Apple,Positive emotion,Apple-Positive emotion
applequotthe classiest fascist company americaquot kara swisher sxsw,Apple,Negative emotion,Apple-Negative emotion
apple taking old ipads teach america user get tax writeoff buy new ipad kinda cool sxsw,Apple,Positive emotion,Apple-Positive emotion
arduino android flaming skull link refrigerator speaks salon sxsw smartthings,Google,Positive emotion,Google-Positive emotion
going sxsw wish could purchase ipad worry link well played apple well played,Apple,Positive emotion,Apple-Positive emotion
search sxsw via twitter work check google real time search least get result sxsw,Google,Positive emotion,Google-Positive emotion
sxsw amp want drink free get ask around iphone app find amp join drink austin,Apple,Positive emotion,Apple-Positive emotion
sxsw want win ipad get case,Apple,Positive emotion,Apple-Positive emotion
sxsw presentation demonstrates pause video new video player pick spot ipad app,Apple,Positive emotion,Apple-Positive emotion
sxsw presentation demonstrates pause video new video player pick spot ipad app tveverywhere,Apple,Positive emotion,Apple-Positive emotion
sxsw iphone charger best friend,Apple,Positive emotion,Apple-Positive emotion
sxsw apple school marketing expert link via,Apple,Positive emotion,Apple-Positive emotion
sxsw quotapple come cool technology one ever heard dont conferencesquot,Apple,Positive emotion,Apple-Positive emotion
tweethouse watching ipad rock sxsw check dotco,Apple,Positive emotion,Apple-Positive emotion
google people work people rather people work agileagency sxsw,Google,Positive emotion,Google-Positive emotion
sxsw apple school marketing expert link via sxsw apple marketing,Apple,Positive emotion,Apple-Positive emotion
awesome hand review ipad coming tomorrow guest post he sxsw,Apple,Positive emotion,Apple-Positive emotion
awesome new version iphone amp new web site coming sxsw want demo meet sxsw,Apple,Positive emotion,Apple-Positive emotion
awesome new version iphone new web site coming sxsw want demo meet sxsw,Apple,Positive emotion,Apple-Positive emotion
awesome new version iphone new web site coming sxsw want demo meet sxsw pls,Apple,Positive emotion,Apple-Positive emotion
awesome first day sxsw apple approved new app download check blog quotbig stereoquot ipad,Apple,Positive emotion,Apple-Positive emotion
backupify announces cloudsight search first searchable archive solution social medium google apps sxsw sxswi link,Google,Positive emotion,Google-Positive emotion
badgeless event free drink heading free googlesponsored happy hour semantic web austin fogo cho sxsw۝,Google,Positive emotion,Google-Positive emotion
even begin apple win sxsw link,Apple,Positive emotion,Apple-Positive emotion
even begin apple win sxsw link,Apple,Positive emotion,Apple-Positive emotion
even begin apple win sxsw link,Apple,Positive emotion,Apple-Positive emotion
even begin apple win sxsw link,Apple,Positive emotion,Apple-Positive emotion
even begin apple winssxsw link gon get sum via,Apple,Positive emotion,Apple-Positive emotion
best ipad design big chunky element generous space clarity trump density tap quality trump tap quantity tapworthy sxsw,Apple,Positive emotion,Apple-Positive emotion
best swag ever thanks charging iphone thanks sxsw link,Apple,Positive emotion,Apple-Positive emotion
best thing ive heard weekend sxsw quoti gave ipad money japan relief dont need ipad quot,Apple,Negative emotion,Apple-Negative emotion
best thing ive heard weekend sxsw quoti gave ipad money japan relief dont need ipad quot,Apple,Negative emotion,Apple-Negative emotion
best thing ive heard weekend sxsw quoti gave ipad money japan relief dont need ipad quot,Apple,Negative emotion,Apple-Negative emotion
better get line apple opening temp store downtown austin sxsw amp ipad launch link,Apple,Positive emotion,Apple-Positive emotion
biomimicry basis design problem solving google studying flocking swarming behavior understand collab brilliant sxsw,Google,Positive emotion,Google-Positive emotion
blogger due update google take action showcase new design sxsw link,Google,Positive emotion,Google-Positive emotion
ipad side want hold please pretty please geekout sxsw,Apple,Positive emotion,Apple-Positive emotion
brilliant move apple even begin apple win sxsw link,Apple,Positive emotion,Apple-Positive emotion
brought google map rerouted image jcpenney image macys trashy restraunts comment uosxsw sxsw,Google,Negative emotion,Google-Negative emotion
cant wait anymore quotgoogle launch major new social network called circlesquot via link google circle sxsw,Google,Positive emotion,Google-Positive emotion
cant wait see internet implode austin friday everyone stop normal activity order ipad sxsw,Apple,Positive emotion,Apple-Positive emotion
check lightboxcom team android choice award finalist announced sxsw team rock,Google,Positive emotion,Google-Positive emotion
check link site download iphone app get ready sxsw special qampa stream sxsw,Apple,Positive emotion,Apple-Positive emotion
check dokobots game iphone android seems pretty cool geogames sxsw tmsxsw,Apple,Positive emotion,Apple-Positive emotion
check free sampler itunes link sxsw,Apple,Positive emotion,Apple-Positive emotion
check new android app bizzy using check sxsw link,Google,Positive emotion,Google-Positive emotion
checking apple pop store looking fwd checking ipad sxsw mosaicxm link,Apple,Positive emotion,Apple-Positive emotion
claim android phone everywhere last year sxsw dude io android ratio like iphone everywhere,Apple,Positive emotion,Apple-Positive emotion
come celebrate charity water tonight google throwin party jump start sxsw week right studentsforcleanwaterorgrsvp,Google,Positive emotion,Google-Positive emotion
come party amp google tonight sxsw link band food art interactive map,Google,Positive emotion,Google-Positive emotion
congrats winning ipad raffled smileyparty check inbox detail sxsw,Apple,Positive emotion,Apple-Positive emotion
cool apple open temporary store sxsw link sxsw,Apple,Positive emotion,Apple-Positive emotion
cool apple open temporary store sxsw link sxsw peer pressure make buy ipad,Apple,Positive emotion,Apple-Positive emotion
could game improve ecodriving habit million mile day driven google map navigation assistedquotsxsw,Google,Positive emotion,Google-Positive emotion
cunning apple keeping ipad popup store open late next sxsw party impulsive lat cont link,Apple,Positive emotion,Apple-Positive emotion
dawn ipad app week early help prep sxsw link,Apple,Positive emotion,Apple-Positive emotion
decided instead sxsw atampt iphone would useful brick austin,Apple,Negative emotion,Apple-Negative emotion
deleting sxsw iphone app link,Apple,Negative emotion,Apple-Negative emotion
deliciously ironic google privacy party made whole quotbanking cartel militaryscientific dictatorship takeoverquot cab rant sxsw,Google,Negative emotion,Google-Negative emotion
detail ipad giveaway coming tonight sxsw sxswi,Apple,Positive emotion,Apple-Positive emotion
detail ipad giveaway coming tonight sxsw sxswi folk sxsw,Apple,Positive emotion,Apple-Positive emotion
deviantart buy ipad austin test muro drawing super fast deviantart sxsw link,Apple,Positive emotion,Apple-Positive emotion
deviantart buy ipad austin test muro drawing super fast deviantart sxsw htt cont link,Apple,Positive emotion,Apple-Positive emotion
diller google quotthe first product wasnt good wasnt consumer product basicallyquot sxsw diller,Google,Negative emotion,Google-Negative emotion
download new austin iphone app free sxsw link thanks tip sxsw,Apple,Positive emotion,Apple-Positive emotion
ellen page appearance reduced iphone call heart broken sxsw super,Apple,No emotion toward brand or product,Apple-No emotion toward brand or product
enjoying sxsw california hollywood silicon valley meet nyc sunny austin bythepool cowboy boot ipad vibe sxswi,Apple,Positive emotion,Apple-Positive emotion
epic there one guy waiting line ipad austin sxsw link sxsw ipad ipad,Apple,Negative emotion,Apple-Negative emotion
epicurious flipboard cnn wired moma example good ipad design sxsw link,Apple,Positive emotion,Apple-Positive emotion
even security guard austin enjoy ipad time sxsw link,Apple,Positive emotion,Apple-Positive emotion
excited know google circle lucky folk sxsw first see possible launch today link sxsw,Google,Positive emotion,Google-Positive emotion
facebook killer google circle announced sxsw interactive festival link google sxsw,Google,Positive emotion,Google-Positive emotion
fail whale artist living ipad sxsw link,Apple,Positive emotion,Apple-Positive emotion
false alarm google circle coming probably ever link much report would unveil sxsw,Google,Negative emotion,Google-Negative emotion
fest tipdont iphone doucheput away phone talk fellow festgoers line etcall good people love film sxsw,Apple,Negative emotion,Apple-Negative emotion
filming ipad much cooler lame iphone sxsw live show link,Apple,Positive emotion,Apple-Positive emotion
finally fed angrybirds julian screamed quoti got nofly zone right pigfuckerquot threw ipad kid sxsw,Apple,Negative emotion,Apple-Negative emotion
first day exhibit hall open sxsw stop emc booth enter win ipad,Apple,Positive emotion,Apple-Positive emotion
first person stop booth sxsw amp show ipad running one apps win free snakeheead tee shirt sxsw,Apple,Positive emotion,Apple-Positive emotion
forgot iphone sxsw android knife gun fight,Google,Positive emotion,Google-Positive emotion
forward delicious tmobile austin iphone user struggle anything sxsw,Apple,Negative emotion,Apple-Negative emotion
found app kyping iphones geolocation amp releasing background need patch batterykiller sxsw,Apple,Negative emotion,Apple-Negative emotion
fun interactive map google party link sxsw,Google,Positive emotion,Google-Positive emotion
funny moment sxsw panel dennis crowley get ipad owner hold new ipad looked like lighter rock concert,Apple,Positive emotion,Apple-Positive emotion
funny psfk session sponsored microsoft talk apple sxsw,Apple,Positive emotion,Apple-Positive emotion
gabacustweets ipad sold went new buyer report link sxsw link socialmedia brk,Apple,Positive emotion,Apple-Positive emotion
geeking youtube apis sxsw google teaching theatre link,Google,Positive emotion,Google-Positive emotion
genius move apple open temp store downtown austin sxsw link via ipad,Apple,Positive emotion,Apple-Positive emotion
get hot latest version whrrl available day android iphone amp blackberry sxsw,Apple,Positive emotion,Apple-Positive emotion
get hot latest version whrrl available today android iphone blackberry whrrl blackberry sxsw,Google,Positive emotion,Google-Positive emotion
get sxsw iphone app thanks awesome integration link,Apple,Positive emotion,Apple-Positive emotion
getting ready sxsw installing iphone woot link,Apple,Positive emotion,Apple-Positive emotion
giving away ipad sxsw mapper entry amazingly easy detail link,Apple,Positive emotion,Apple-Positive emotion
going sxsw new iphone guide austin free march hard beat free,Apple,Positive emotion,Apple-Positive emotion
going sxsw new iphone guide austin free march hard beat free mobile,Apple,Positive emotion,Apple-Positive emotion
going awesome gallery original daniel johnston art going tomorrow gsdm google industry party sxsw,Google,Positive emotion,Google-Positive emotion
good news austinbound apple fanboys link sxsw ipad,Apple,Positive emotion,Apple-Positive emotion
good news austin eats bbq iphone available link itunes austin bbq sxsw sxswi,Apple,Positive emotion,Apple-Positive emotion
good news austin eats bbq iphone available link itunes austin bbq sxsw sxswi via,Apple,Positive emotion,Apple-Positive emotion
google quotproduct gatekeeperquot marissa mayer locationbased quotfast fun futurequot link sxsw,Google,Positive emotion,Google-Positive emotion
google art project like street view except art museum around world incl billion pixel image starry night dang sxsw,Google,Positive emotion,Google-Positive emotion
google building real time engine monitor illegal deforestation real time techgood sxsw,Google,Positive emotion,Google-Positive emotion
google circle toast cant convince facebook user start account interface sxsw,Google,Negative emotion,Google-Negative emotion
google denies launch major new social network circle sxsw including tim oreily say exists awesome,Google,Positive emotion,Google-Positive emotion
google doodle aim bring people together socially promote communal experience sxsw googledoodles,Google,Positive emotion,Google-Positive emotion
google quotgot lot betterquot protecting user privacy locationbased tool past month say mayer sxsw,Google,Positive emotion,Google-Positive emotion
google hotpot rate restaurant get personalized recos eat think foursquare yelp etc covered already sxsw,Google,Negative emotion,Google-Negative emotion
google hotpot yelp killer impressive integration personalized recommendation really fast sxsw,Google,Positive emotion,Google-Positive emotion
google focusing bridging digitalphysical divide map streetview hotpot amp autonomous driving sxsw,Google,Positive emotion,Google-Positive emotion
google planning launch major new social network called circle preview far super positive sxsw link,Google,Positive emotion,Google-Positive emotion
google saving user year time gps navigation using alternate route traffic sxsw,Google,Positive emotion,Google-Positive emotion
google showing skier geolocation overlaid mountain model would love finding empty run sxsw,Google,Positive emotion,Google-Positive emotion
google smart positioning brand theyre search engine theyre organizing world info higher purpose savebrands sxsw,Google,Positive emotion,Google-Positive emotion
google latina see find pornthis first impression people get latism sxsw sxswlatam latinasintech۝,Google,Negative emotion,Google-Negative emotion
google map mobile look awesomesxsw,Google,Positive emotion,Google-Positive emotion
google presentation mayer sale pitch fail sxsw,Google,Negative emotion,Google-Negative emotion
google preview updated blogger interface sxsw link,Google,Positive emotion,Google-Positive emotion
google route around traffic saving driver year time per day finding best route sxsw,Google,Positive emotion,Google-Positive emotion
google set launch new social network circle today sxsw,Google,Positive emotion,Google-Positive emotion
google tested shade blue link color made difference scale nuance really matter sxsw,Google,Positive emotion,Google-Positive emotion
google launch major new social network called circle link sxsw,Google,Positive emotion,Google-Positive emotion
google launch major new social network called circle possibly today sxsw link,Google,Positive emotion,Google-Positive emotion
google launch major new social network called circle possibly today link sxswi sxsw sound fabulous,Google,Positive emotion,Google-Positive emotion
google launch major new social network called circle possibly today link sxsw۝ gtgt good,Google,Positive emotion,Google-Positive emotion
google launch major new social network called circle possibly today sxsw rwwtofbcet ogoody overload,Google,Negative emotion,Google-Negative emotion
google launch new social network sxsw cnet news link sxsw,Google,No emotion toward brand or product,Google-No emotion toward brand or product
google demo league extraordinary hacker cool stuff like web apps google sxsw lxh,Google,Positive emotion,Google-Positive emotion
google bing bettersearch bing shot success structured search potentially higher margin cpa model google sxsw,Google,Negative emotion,Google-Negative emotion
google incapable disruptive innovation acquired startup last year leanstartup sxsw,Google,Negative emotion,Google-Negative emotion
google art project would great virtual field trip kid museum around world edtech sxsw,Google,Positive emotion,Google-Positive emotion
google marissa mayer locationbased fast fun future link sxsw sxswi,Google,Positive emotion,Google-Positive emotion
google new quotroutearoundquot feature give alternate route avoid traffic collectively saving driver yrsday sxsw,Google,Positive emotion,Google-Positive emotion
google new quotroutearoundquot feature give alternate route avoid traffic collectively saving driver yrsday sxsw,Google,Positive emotion,Google-Positive emotion
google route around traffic function save user year every day good future marissa mayer sxsw,Google,Positive emotion,Google-Positive emotion
got vmware talent community ipad app rockin signing talented professional tonight sxsw link,Apple,Positive emotion,Apple-Positive emotion
great day sxsw jaloux amp new ipadlook school bus day school link,Apple,Positive emotion,Apple-Positive emotion
great panel wguys amp google hotpot social recs def end recs discotalk sxsw sloanxsw,Google,Positive emotion,Google-Positive emotion
great session ipad design good insight tapworthy hisxsw sxsw,Apple,Positive emotion,Apple-Positive emotion
guy ever plan attending sxsw need thing skinny jean flannel shirt beard ipad imanoutcast,Apple,Positive emotion,Apple-Positive emotion
